Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswers,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 1,Which two words rhyme?,Select all words that rhyme,MultipleSelect,hat,cat,run,sun,"[A,B]",155,1,CCSS.ELA.RF.1.2,phonological awareness,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.5"
English,Grade 1,Which are naming words (nouns)?,Select all nouns,MultipleSelect,quickly,run,dog,ball,"[C,D]",162,1,CCSS.ELA.L.1.1,parts of speech,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 1,Look at the picture. Which two things can you see? {img:ela_g1_q3.png} (Select all that apply),Select all items shown in the image,MultipleSelect,cat,ball,tree,apple,"[A,D]",168,2,CCSS.ELA.RL.1.7,illustrations and text,"CCSS.ELA.CCR.R.7, CCSS.ELA.CCR.R.10"
English,Grade 1,Which words have the same beginning sound?,Select words with the same initial sound,MultipleSelect,sun,moon,mat,star,"[B,C]",158,1,CCSS.ELA.RF.1.2,phonemic awareness,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.4"
English,Grade 1,Which two could be the main character in a story?,Select all that could be main characters,MultipleSelect,a rabbit,a girl,the wind,a rock,"[A,B]",172,2,CCSS.ELA.RL.1.3,characters and events,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.10"
English,Grade 1,Which are action words (verbs)?,Select all verbs,MultipleSelect,red,blue,jump,skip,"[C,D]",165,1,CCSS.ELA.L.1.1,verbs,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 1,Which two belong in a sentence that tells what happened first?,Select words that show order,MultipleSelect,then,first,red,big,"[A,B]",170,2,CCSS.ELA.RL.1.2,sequence and retell,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.5"
English,Grade 1,Which words describe how something looks?,Select all describing words,MultipleSelect,fast,round,soft,run,"[B,C]",160,1,CCSS.ELA.L.1.1,adjectives,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5"
English,Grade 1,Which two tell you about the setting of a story?,Select details that describe setting,MultipleSelect,he ran,at night,in the forest,she said,"[B,C]",175,2,CCSS.ELA.RL.1.1,key details and setting,"CCSS.ELA.CCR.R.1, CCSS.ELA.CCR.R.3"
English,Grade 1,Which are complete sentences?,Select all complete sentences,MultipleSelect,The dog runs.,I like to play.,Big red.,Runs fast.,"[A,B]",178,2,CCSS.ELA.L.1.1,complete sentences,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2"
English,Grade 2,Which two words are synonyms?,Select all word pairs that mean the same,MultipleSelect,fast and quick,up and down,hot and cold,big and large,"[A,D]",185,2,CCSS.ELA.L.2.5,word relationships,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5"
English,Grade 2,Which are compound words?,Select all compound words,MultipleSelect,doghouse,cat,run,sunflower,"[A,D]",182,1,CCSS.ELA.L.2.4,compound words,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 2,Which two show the moral or lesson of a fable?,Select possible lessons,MultipleSelect,Work together.,The sky is blue.,Be kind.,Two plus two is four.,"[A,C]",192,2,CCSS.ELA.RL.2.2,central message,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9"
English,Grade 2,Which words have a long vowel sound?,Select words with long vowel,MultipleSelect,hop,ride,cake,cat,"[B,C]",188,1,CCSS.ELA.RF.2.3,vowel patterns,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.4"
English,Grade 2,Look at the diagram. Which two parts of the story are shown? {img:ela_g2_q5.png} (Select all that apply),Select story elements from the image,MultipleSelect,end,middle,beginning,title,"[B,C]",198,2,CCSS.ELA.RL.2.5,story structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.7"
English,Grade 2,Which are correct ways to show someone is speaking?,Select punctuation for dialogue,MultipleSelect,Hi she said,"She said, ""Hi.""",he said hello,"""Hello,"" he said.","[B,D]",190,2,CCSS.ELA.L.2.2,punctuation and dialogue,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.W.4"
English,Grade 2,Which two are reasons an author might write a book?,Select author's purposes,MultipleSelect,to entertain,to erase,to inform,to forget,"[A,C]",195,2,CCSS.ELA.RI.2.6,author's purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8"
English,Grade 2,Which words are plural?,Select all plural nouns,MultipleSelect,box,book,dogs,cats,"[C,D]",180,1,CCSS.ELA.L.2.1,plural nouns,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2"
English,Grade 2,Which two help you figure out an unknown word?,Select context clues strategies,MultipleSelect,skipping the word,pictures nearby,closing your eyes,other words in the sentence,"[B,D]",200,2,CCSS.ELA.L.2.4,context clues,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.R.4"
English,Grade 2,Which are facts (not opinions)?,Select all factual statements,MultipleSelect,Dogs have four legs.,Water boils at 100°C.,Dogs are the best.,Summer is fun.,"[A,B]",197,2,CCSS.ELA.RI.2.8,fact vs opinion,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.R.10"
English,Grade 3,Which two are main ideas of a paragraph?,Select possible main ideas,MultipleSelect,The sky is blue.,Many animals live in the ocean.,Recycling helps the planet.,Two plus two is four.,"[B,C]",208,2,CCSS.ELA.RI.3.2,main idea,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.10"
English,Grade 3,Which words are adjectives?,Select all adjectives,MultipleSelect,quickly,enormous,run,beautiful,"[B,D]",205,1,CCSS.ELA.L.3.1,adjectives,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 3,Which two compare or contrast two characters?,Select comparison language,MultipleSelect,The end.,Both are brave.,Unlike her sister,A dog ran.,"[B,C]",212,2,CCSS.ELA.RL.3.3,compare characters,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.9"
English,Grade 3,Look at the chart. Which two facts can you find? {img:ela_g3_q4.png} (Select all that apply),Select information from the chart,MultipleSelect,first row label,third row label,title only,second row label,"[A,D]",218,2,CCSS.ELA.RI.3.7,text and visual information,"CCSS.ELA.CCR.R.7, CCSS.ELA.CCR.R.10"
English,Grade 3,Which are prefixes?,Select all prefixes,MultipleSelect,un-,re-,-ed,cat,"[A,B]",202,1,CCSS.ELA.L.3.4,prefixes and suffixes,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 3,Which two show cause and effect?,Select cause-effect pairs,MultipleSelect,ice and melting,rain and wet ground,sun and moon,red and blue,"[A,B]",215,2,CCSS.ELA.RI.3.3,cause and effect,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.8"
English,Grade 3,Which words are adverbs?,Select all adverbs,MultipleSelect,slowly,run,quick,very,"[A,D]",210,1,CCSS.ELA.L.3.1,adverbs,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 3,Which two are supporting details for a main idea?,Select supporting details,MultipleSelect,For example,The end.,First,I think so.,"[A,C]",220,2,CCSS.ELA.RI.3.2,supporting details,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.8"
English,Grade 3,Which are simple sentences?,Select all simple sentences,MultipleSelect,She ran.,After school we play.,When I woke up I ate.,The dog barked.,"[A,D]",213,2,CCSS.ELA.L.3.1,sentence types,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 3,Which two help you understand a character's feelings?,Select character clues,MultipleSelect,the title,what they do,what they say,the page number,"[B,C]",222,2,CCSS.ELA.RL.3.3,character traits,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.4"
English,Grade 4,Which two are themes in a story?,Select possible themes,MultipleSelect,One two three.,The cat sat.,Honesty is best.,Friendship matters.,"[C,D]",228,2,CCSS.ELA.RL.4.2,theme,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9"
English,Grade 4,Which words are pronouns?,Select all pronouns,MultipleSelect,they,she,book,run,"[A,B]",225,1,CCSS.ELA.L.4.1,pronouns,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 4,Which two are first-person narrators?,Select first-person clues,MultipleSelect,We saw the game.,I went to the store.,He ran home.,They said hello.,"[A,B]",232,2,CCSS.ELA.RL.4.6,point of view,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.4"
English,Grade 4,Which are types of context clues?,Select context clue types,MultipleSelect,example given,random word,synonym,definition in sentence,"[A,C,D]",235,2,CCSS.ELA.L.4.4,context clues,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.R.4"
English,Grade 4,Look at the timeline. Which two events are in order? {img:ela_g4_q5.png} (Select all that apply),Select events in sequence from image,MultipleSelect,first event,last event,second event,title,"[A,C]",238,2,CCSS.ELA.RI.4.3,sequence and timeline,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.7"
English,Grade 4,Which two are evidence from the text?,Select textual evidence,MultipleSelect,the author's name,the page number only,a quote from the story,a detail that supports the main idea,"[C,D]",240,2,CCSS.ELA.RI.4.8,evidence and reasoning,"CCSS.ELA.CCR.R.1, CCSS.ELA.CCR.R.8"
English,Grade 4,Which words are prepositions?,Select all prepositions,MultipleSelect,on,in,under,run,"[A,B,C]",230,1,CCSS.ELA.L.4.1,prepositions,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 4,Which two describe the structure of a poem?,Select poetic structure,MultipleSelect,stanzas,rhyme,water is wet,numbers,"[A,B]",242,2,CCSS.ELA.RL.4.5,text structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.10"
English,Grade 4,Which are conjunctions?,Select all conjunctions,MultipleSelect,or,and,but,quickly,"[A,B,C]",233,1,CCSS.ELA.L.4.2,conjunctions,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2"
English,Grade 4,Which two make an argument stronger?,Select elements of argument,MultipleSelect,evidence,typos,reasons,unrelated facts,"[A,C]",245,3,CCSS.ELA.RI.4.8,argument and evidence,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1"
English,Grade 5,Which two are metaphors or similes?,Select figurative language,MultipleSelect,the cat sat,her smile was sunshine,the dog ran,as brave as a lion,"[B,D]",252,2,CCSS.ELA.L.5.5,figurative language,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4"
English,Grade 5,Which are ways to organize informational text?,Select text structures,MultipleSelect,no structure,compare and contrast,cause and effect,random order,"[B,C]",255,2,CCSS.ELA.RI.5.5,text structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.10"
English,Grade 5,Which two show an author's perspective?,Select author perspective clues,MultipleSelect,word choice,font size,opinions stated,page numbers,"[A,C]",258,2,CCSS.ELA.RI.5.6,author's point of view,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8"
English,Grade 5,Which words have a negative connotation?,Select words with negative tone,MultipleSelect,determined,lazy,stubborn,active,"[B,C]",250,2,CCSS.ELA.L.5.5,word connotations,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.L.6"
English,Grade 5,Look at the map in the passage. Which two places are shown? {img:ela_g5_q5.png} (Select all that apply),Select locations from the map,MultipleSelect,location A,location B,location C,legend only,"[A,B]",262,2,CCSS.ELA.RI.5.7,integrate visual information,"CCSS.ELA.CCR.R.7, CCSS.ELA.CCR.R.10"
