Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswer,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 1,What is 7 + 5?,Add within 20.,MCQ,12,11,13,10,A,120,1,CCSS.MATH.CONTENT.1.OA.A.1,add within 20,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 1,What is 14 − 9?,Subtract within 20.,MCQ,6,5,4,3,B,170,1,CCSS.MATH.CONTENT.1.OA.A.1,subtract within 20,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 1,Which shape has 3 sides? {img:math_g1_q3.png},"The image shows a triangle, a square, a circle, and a rectangle.",MCQ,triangle,square,circle,rectangle,A,130,1,CCSS.MATH.CONTENT.1.G.A.1,identify defining attributes,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G"
Maths,Grade 1,Mia has 6 stickers. She gets 3 more. How many stickers does she have now?,One-step addition word problem within 20.,MCQ,7,8,9,10,C,180,2,CCSS.MATH.CONTENT.1.OA.A.1,solve addition word problems,"CCSS.MATH.MP.1, CCSS.MATH.DOM.OA"
Maths,Grade 1,Which number is greater?,Compare two numbers: 18 and 15.,MCQ,18,15,They are equal,Not enough information,A,140,1,CCSS.MATH.CONTENT.1.NBT.B.3,compare two-digit numbers,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NBT"
Maths,Grade 1,"In the number 34, what value does the digit 3 represent?",Understand place value tens and ones.,MCQ,3,30,4,34,B,190,2,CCSS.MATH.CONTENT.1.NBT.B.2,tens and ones value,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NBT"
Maths,Grade 1,Which equation is true because you can add in any order?,Use the commutative property of addition.,MCQ,7 + 5 = 12 and 5 + 7 = 12,7 + 5 = 13,7 + 5 = 10,5 + 5 = 7 + 3,A,240,3,CCSS.MATH.CONTENT.1.OA.B.3,commutative property of addition,"CCSS.MATH.MP.3, CCSS.MATH.DOM.OA"
Maths,Grade 1,Ben saw 9 birds on a fence. Then 2 flew away. How many birds are left?,One-step subtraction word problem within 20.,MCQ,11,7,9,6,B,180,2,CCSS.MATH.CONTENT.1.OA.A.1,solve subtraction word problems,"CCSS.MATH.MP.1, CCSS.MATH.DOM.OA"
Maths,Grade 1,A circle is split into 2 equal parts. One part is called a,Partition shapes into equal shares.,MCQ,half,third,fourth,whole,A,150,1,CCSS.MATH.CONTENT.1.G.A.3,halves of shapes,"CCSS.MATH.MP.2, CCSS.MATH.DOM.G"
Maths,Grade 1,What is 4 + 3 + 2?,Add three whole numbers.,MCQ,9,8,10,7,A,160,1,CCSS.MATH.CONTENT.1.OA.A.2,add three numbers,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 2,What is 35 + 27?,Add within 100 using place value strategies.,MCQ,52,62,72,57,B,180,2,CCSS.MATH.CONTENT.2.NBT.B.5,add within 100,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 2,What is 90 − 46?,Subtract within 100.,MCQ,44,46,54,36,A,190,2,CCSS.MATH.CONTENT.2.NBT.B.5,subtract within 100,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 2,How many students chose cats? {img:math_g2_q3.png},The image shows a bar graph of favorite pets with Cats at 6.,MCQ,4,5,6,7,C,200,2,CCSS.MATH.CONTENT.2.MD.D.10,read a bar graph,"CCSS.MATH.MP.4, CCSS.MATH.DOM.MD"
Maths,Grade 2,A jar has 42 marbles. 18 are red. How many marbles are not red?,One-step subtraction word problem within 100.,MCQ,24,20,30,60,A,200,2,CCSS.MATH.CONTENT.2.OA.A.1,solve addition subtraction word problems,"CCSS.MATH.MP.1, CCSS.MATH.DOM.OA"
Maths,Grade 2,"Skip count by 5: 35, 40, 45, __",Count by 5s.,MCQ,46,50,55,60,B,140,1,CCSS.MATH.CONTENT.2.NBT.A.2,skip counting,"CCSS.MATH.MP.8, CCSS.MATH.DOM.NBT"
Maths,Grade 2,Which number has 6 tens and 3 ones?,Understand place value to 100.,MCQ,36,63,603,60,B,150,1,CCSS.MATH.CONTENT.2.NBT.A.1,place value tens and ones,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NBT"
Maths,Grade 2,What time is 3:30?,Tell and write time to the nearest 5 minutes.,MCQ,three o'clock,half past three,quarter to three,three fifteen,B,170,1,CCSS.MATH.CONTENT.2.MD.C.7,tell time to 5 minutes,"CCSS.MATH.MP.6, CCSS.MATH.DOM.MD"
Maths,Grade 2,Ella has 3 bags with 4 apples in each bag. How many apples does she have?,Equal groups word problem using addition.,MCQ,7,10,12,14,C,230,3,CCSS.MATH.CONTENT.2.OA.C.4,work with equal groups,"CCSS.MATH.MP.2, CCSS.MATH.DOM.OA"
Maths,Grade 2,Which unit is best to measure the length of a book?,Choose appropriate measurement unit.,MCQ,inches,miles,gallons,pounds,A,130,1,CCSS.MATH.CONTENT.2.MD.A.1,choose measurement tools,"CCSS.MATH.MP.5, CCSS.MATH.DOM.MD"
Maths,Grade 2,A rectangle is split into 4 equal parts. One part is called a,Partition shapes into equal shares.,MCQ,half,third,fourth,tenth,C,160,1,CCSS.MATH.CONTENT.2.G.A.3,halves thirds fourths,"CCSS.MATH.MP.2, CCSS.MATH.DOM.G"
Maths,Grade 3,What is 7 × 6?,Multiply within 100.,MCQ,36,42,48,56,B,140,1,CCSS.MATH.CONTENT.3.OA.A.1,basic multiplication facts,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 3,What is 56 ÷ 7?,Divide within 100.,MCQ,6,7,8,9,C,150,1,CCSS.MATH.CONTENT.3.OA.A.2,basic division facts,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 3,What is the area of the rectangle? {img:math_g3_q3.png},The image shows a rectangle on a grid that is 4 units by 6 units.,MCQ,10 square units,20 square units,24 square units,30 square units,C,190,2,CCSS.MATH.CONTENT.3.MD.C.7,area of rectangles,"CCSS.MATH.MP.5, CCSS.MATH.DOM.MD"
Maths,Grade 3,A classroom has 4 rows of 6 chairs. How many chairs are there in all?,Multiplication word problem with equal groups.,MCQ,18,20,24,26,C,200,2,CCSS.MATH.CONTENT.3.OA.A.3,solve multiplication word problems,"CCSS.MATH.MP.1, CCSS.MATH.DOM.OA"
Maths,Grade 3,Which fraction is equivalent to 1/2?,Find equivalent fractions.,MCQ,02-Mar,02-Apr,03-Aug,01-Mar,B,180,2,CCSS.MATH.CONTENT.3.NF.A.3,equivalent fractions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NF"
Maths,Grade 3,Round 67 to the nearest ten.,Round whole numbers.,MCQ,60,70,67,80,B,150,1,CCSS.MATH.CONTENT.3.NBT.A.1,round to nearest ten,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
