Subject,Grade,QuestionText,Description,questionType,blankOptions,blankCorrects,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 1,The cat ___ on the mat.,Choose the word that completes the sentence.,FillInBlank,"sit,sits,sat",B,120,1,CCSS.ELA-LITERACY.L.1.1,Subject-verb agreement present tense,CCSS.ELA.CCR.L.1
English,Grade 1,I ___ my friend at school.,Choose the word that completes the sentence.,FillInBlank,"see,sees,saw",A,110,1,CCSS.ELA-LITERACY.RF.1.3,High-frequency word in sentence,CCSS.ELA.CCR.R.1
English,Grade 1,She has ___ red ball.,Choose the word that completes the sentence.,FillInBlank,"a,an,the",A,100,1,CCSS.ELA-LITERACY.L.1.1,Article use with consonant,CCSS.ELA.CCR.L.1
English,Grade 1,We ___ to the park yesterday.,Choose the word that completes the sentence.,FillInBlank,"go,goes,went",C,130,1,CCSS.ELA-LITERACY.L.1.1,Past tense verb form,CCSS.ELA.CCR.L.1
English,Grade 1,The dog ___ fast.,Choose the word that completes the sentence.,FillInBlank,"run,runs,running",B,115,1,CCSS.ELA-LITERACY.L.1.1,Present tense verb agreement,CCSS.ELA.CCR.L.1
English,Grade 1,The sun is ___ today.,Choose the word that completes the sentence.,FillInBlank,"bright,brightly,brightness",A,140,1,CCSS.ELA-LITERACY.L.1.1,Adjective after linking verb,CCSS.ELA.CCR.L.1
English,Grade 1,I have one cat and two ___.,Choose the word that completes the sentence.,FillInBlank,"dog,dogs,doges",B,105,1,CCSS.ELA-LITERACY.L.1.1,Plural noun formation,CCSS.ELA.CCR.L.1
English,Grade 1,Tom ___ his lunch; he ___ hungry.,Two blanks: verb and adjective.,FillInBlank,"ate,eats,eat; is,are,was",A;C,155,2,CCSS.ELA-LITERACY.L.1.1,Past tense and linking verb,CCSS.ELA.CCR.L.1
English,Grade 1,The bird ___ in the tree.,Choose the word that completes the sentence.,FillInBlank,"live,lives,lived",B,118,1,CCSS.ELA-LITERACY.RF.1.3,High-frequency verb in sentence,CCSS.ELA.CCR.R.1
English,Grade 2,The children ___ playing in the yard.,Choose the verb that completes the sentence.,FillInBlank,"is,are,was",B,125,1,CCSS.ELA-LITERACY.L.2.1,Subject-verb agreement plural,CCSS.ELA.CCR.L.1
English,Grade 2,We ___ to the store last week.,Choose the past tense verb.,FillInBlank,"go,went,gone",B,120,1,CCSS.ELA-LITERACY.L.2.1,Irregular past tense verb,CCSS.ELA.CCR.L.1
