Subject,Grade,QuestionText,Description,questionType,correctAnswer,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 1,A sentence begins with a capital letter.,Capitalization rule.,TrueFalse,TRUE,100,1,CCSS.ELA-LITERACY.L.1.2,Capitalization,CCSS.ELA.CCR.L.2
English,Grade 1,A sentence ends with a period question mark or exclamation point.,End punctuation.,TrueFalse,TRUE,102,1,CCSS.ELA-LITERACY.L.1.2,End punctuation,CCSS.ELA.CCR.L.2
English,Grade 1,The word "cat" has three sounds.,Phonemic awareness.,TrueFalse,TRUE,105,1,CCSS.ELA-LITERACY.RF.1.2,Phonemic awareness,CCSS.ELA.CCR.R.2
English,Grade 1,"In the sentence ""The dog runs"" the word ""runs"" tells what the dog does.",Verb identification.,TrueFalse,TRUE,110,1,CCSS.ELA-LITERACY.L.1.1,Verbs,CCSS.ELA.CCR.L.1
English,Grade 1,The word "I" is always written with a capital letter.,Capital I rule.,TrueFalse,TRUE,108,1,CCSS.ELA-LITERACY.L.1.2,Capital I,CCSS.ELA.CCR.L.2
English,Grade 1,"The sentence ""The sun is hot"" has correct capitalization. {eng_tf_g1_q6.png}",Image: sentence with capitalization.,TrueFalse,TRUE,120,2,CCSS.ELA-LITERACY.L.1.2,Capitalization in sentence,CCSS.ELA.CCR.L.2
English,Grade 1,"In the story a girl finds a red ball. The ball is red. So the main thing she found is a ball.",Main idea from short text.,TrueFalse,TRUE,118,2,CCSS.ELA-LITERACY.RL.1.2,Main idea,CCSS.ELA.CCR.R.2
English,Grade 1,Two words can have the same meaning.,Synonyms concept.,TrueFalse,TRUE,112,1,CCSS.ELA-LITERACY.L.1.5,Word relationships,CCSS.ELA.CCR.L.5
English,Grade 1,"We write ""the dog"" not ""the Dog"" when it is not at the start of a sentence.",Capitalization rule.,TrueFalse,TRUE,115,1,CCSS.ELA-LITERACY.L.1.2,Capitalization,CCSS.ELA.CCR.L.2
English,Grade 1,A question must end with a period.,End punctuation.,TrueFalse,FALSE,108,1,CCSS.ELA-LITERACY.L.1.2,Question punctuation,CCSS.ELA.CCR.L.2
English,Grade 2,A noun names a person place or thing.,Definition of noun.,TrueFalse,TRUE,105,1,CCSS.ELA-LITERACY.L.2.1,Nouns,CCSS.ELA.CCR.L.1
English,Grade 2,An adjective describes a noun.,Definition of adjective.,TrueFalse,TRUE,108,1,CCSS.ELA-LITERACY.L.2.1,Adjectives,CCSS.ELA.CCR.L.1
English,Grade 2,"In ""The cats play"" the subject and verb agree.",Subject-verb agreement.,TrueFalse,TRUE,115,1,CCSS.ELA-LITERACY.L.2.1,Subject-verb agreement,CCSS.ELA.CCR.L.1
English,Grade 2,"The word ""unhappy"" has a prefix that means ""not.""",Prefix meaning.,TrueFalse,TRUE,120,1,CCSS.ELA-LITERACY.L.2.4,Prefixes,CCSS.ELA.CCR.L.4
English,Grade 2,"In the passage ""It was a rainy day. We stayed inside."" the two sentences are correctly separated.",Sentence boundaries.,TrueFalse,TRUE,118,2,CCSS.ELA-LITERACY.L.2.2,Sentence punctuation,CCSS.ELA.CCR.L.2
English,Grade 2,"The sign says ""No running."" So we should walk. {eng_tf_g2_q6.png}",Image: sign with rule; infer behavior.,TrueFalse,TRUE,128,2,CCSS.ELA-LITERACY.RI.2.1,Inference from text,CCSS.ELA.CCR.R.1
English,Grade 2,"In ""She runs fast"" the word ""fast"" tells how she runs.",Adverb function.,TrueFalse,TRUE,112,1,CCSS.ELA-LITERACY.L.2.1,Adverbs,CCSS.ELA.CCR.L.1
English,Grade 2,A comma is used between the day and year in a date.,Comma in date.,TrueFalse,TRUE,122,1,CCSS.ELA-LITERACY.L.2.2,Commas in dates,CCSS.ELA.CCR.L.2
English,Grade 2,"The sentence ""The boy and the girl plays"" has correct subject-verb agreement.",Subject-verb agreement.,TrueFalse,FALSE,125,2,CCSS.ELA-LITERACY.L.2.1,Subject-verb agreement,CCSS.ELA.CCR.L.1
English,Grade 2,"In the short text the fox hid under a bush. So the fox was hiding.",Inference from short text.,TrueFalse,TRUE,130,2,CCSS.ELA-LITERACY.RL.2.1,Inference,CCSS.ELA.CCR.R.1
English,Grade 3,The subject of a sentence tells who or what the sentence is about.,Definition of subject.,TrueFalse,TRUE,110,1,CCSS.ELA-LITERACY.L.3.1,Sentence parts,CCSS.ELA.CCR.L.1
English,Grade 3,A paragraph can have more than one main idea.,Paragraph structure.,TrueFalse,FALSE,125,1,CCSS.ELA-LITERACY.RI.3.2,Main idea,CCSS.ELA.CCR.R.2
English,Grade 3,Quotation marks are used around the exact words someone said.,Quotation marks.,TrueFalse,TRUE,115,1,CCSS.ELA-LITERACY.L.3.2,Quotation marks,CCSS.ELA.CCR.L.2
English,Grade 3,"The word ""reread"" contains a prefix meaning ""again.""",Prefix meaning.,TrueFalse,TRUE,118,1,CCSS.ELA-LITERACY.L.3.4,Prefixes,CCSS.ELA.CCR.L.4
English,Grade 3,"In ""The dogs bark loudly"" the subject is plural and the verb agrees.",Subject-verb agreement.,TrueFalse,TRUE,120,1,CCSS.ELA-LITERACY.L.3.1,Subject-verb agreement,CCSS.ELA.CCR.L.1
English,Grade 3,"The sentence ""Where did you go"" needs a question mark at the end. {eng_tf_g3_q6.png}",Image: sentence missing question mark.,TrueFalse,TRUE,132,2,CCSS.ELA-LITERACY.L.3.2,Punctuation,CCSS.ELA.CCR.L.2
English,Grade 3,"In the passage ""The bird built a nest. It laid three eggs."" the word ""It"" refers to the bird.",Pronoun reference.,TrueFalse,TRUE,128,2,CCSS.ELA-LITERACY.L.3.1,Pronoun reference,CCSS.ELA.CCR.L.1
English,Grade 3,A compound sentence joins two related ideas with a comma and conjunction.,Compound sentence.,TrueFalse,TRUE,135,2,CCSS.ELA-LITERACY.L.3.1,Compound sentences,CCSS.ELA.CCR.L.1
English,Grade 3,"The author wrote ""The sky turned dark"" mainly to show setting.",Author's purpose.,TrueFalse,TRUE,138,2,CCSS.ELA-LITERACY.RL.3.6,Author's purpose,CCSS.ELA.CCR.R.6
English,Grade 3,"The sentence ""He don't like it"" uses correct grammar.",Standard grammar.,TrueFalse,FALSE,130,1,CCSS.ELA-LITERACY.L.3.1,Subject-verb agreement,CCSS.ELA.CCR.L.1
English,Grade 4,A run-on sentence joins two or more sentences without correct punctuation or conjunction.,Definition of run-on.,TrueFalse,TRUE,125,1,CCSS.ELA-LITERACY.L.4.1,Run-on sentences,CCSS.ELA.CCR.L.1
English,Grade 4,The comparative form of "big" is "bigger.",Comparative adjectives.,TrueFalse,TRUE,115,1,CCSS.ELA-LITERACY.L.4.1,Comparative adjectives,CCSS.ELA.CCR.L.1
English,Grade 4,"In the text ""The storm damaged the roof. Repairs cost a lot."" the second sentence is a detail that supports the first.",Main idea and detail.,TrueFalse,TRUE,140,2,CCSS.ELA-LITERACY.RI.4.2,Main idea and details,CCSS.ELA.CCR.R.2
English,Grade 4,A possessive noun shows ownership.,Possessive nouns.,TrueFalse,TRUE,110,1,CCSS.ELA-LITERACY.L.4.2,Possessives,CCSS.ELA.CCR.L.2
English,Grade 4,"The sentence ""She goed to the store"" has a verb error.",Past tense verb.,TrueFalse,TRUE,128,1,CCSS.ELA-LITERACY.L.4.1,Verb tense,CCSS.ELA.CCR.L.1
English,Grade 4,"The paragraph has a topic sentence followed by supporting details. {eng_tf_g4_q6.png}",Image: short paragraph structure.,TrueFalse,TRUE,145,2,CCSS.ELA-LITERACY.RI.4.5,Text structure,CCSS.ELA.CCR.R.5
