Subject,Grade,QuestionText,Description,questionType,leftItems,rightItems,correctPairs,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 1,Match each word to its rhyming word.,Match words that rhyme.,Matching,"cat,hat,run,sun","mat,bun,bat,fun","0-2,1-0,2-3,3-1",155,1,CCSS.ELA.RF.1.2,phonological awareness,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.5"
English,Grade 1,Match each word to its opposite.,Match antonyms.,Matching,"hot,big,up,fast","slow,down,small,cold","0-3,1-2,2-1,3-0",158,1,CCSS.ELA.L.1.5,word relationships,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5"
English,Grade 1,Match each word to the action it names.,Match verbs to meanings.,Matching,"run,jump,sit,sleep","move fast,close eyes at night,leap,rest on chair","0-0,1-2,2-3,3-1",165,1,CCSS.ELA.L.1.1,verbs,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 1,Match each word to the thing it describes.,Match nouns to examples.,Matching,"animal,color,number,place","red,dog,school,three","0-1,1-0,2-3,3-2",168,1,CCSS.ELA.L.1.1,parts of speech,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.6"
English,Grade 1,Match the beginning sound to the word.,Match initial sounds to words.,Matching,"s-,m-,b-,t-","ball,top,sun,mat","0-2,1-3,2-0,3-1",170,1,CCSS.ELA.RF.1.2,phonemic awareness,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.4"
English,Grade 1,Match each sentence part to complete it.,Match subject and predicate.,Matching,"The dog,The cat,A bird,The boy","plays.,flies.,sleeps.,runs.","0-3,1-2,2-1,3-0",172,2,CCSS.ELA.L.1.1,sentence structure,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2"
English,Grade 1,Match each word to its meaning.,Match vocabulary to definitions.,Matching,"happy,sad,big,little","glad,small,large,unhappy","0-0,1-3,2-2,3-1",175,1,CCSS.ELA.L.1.5,vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5"
English,Grade 1,Match the character to what they might do.,Match story character to action.,Matching,"rabbit,girl,fish,bird","runs,hops,flies,swims","0-1,1-0,2-3,3-2",178,2,CCSS.ELA.RL.1.3,characters,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.10"
English,Grade 1,Match each punctuation mark to its use.,Match punctuation to use.,Matching,".,?,!,,","ask question,end statement,separate items,show excitement","0-2,1-0,2-3,3-1",160,1,CCSS.ELA.L.1.2,punctuation,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.L.3"
English,Grade 2,Match each word to its synonym.,Match words with the same meaning.,Matching,"happy,big,small,fast","little,quick,joyful,large","0-2,1-3,2-0,3-1",182,1,CCSS.ELA.L.2.5,synonyms,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5"
English,Grade 2,Match each compound word to its two parts.,Match compound to parts.,Matching,"sunflower,doghouse,football,cupcake","dog+house,cup+cake,sun+flower,foot+ball","0-2,1-0,2-3,3-1",185,2,CCSS.ELA.L.2.4,compound words,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 2,Match each story part to its definition.,Match story elements.,Matching,"character,setting,plot,ending","how it ends,who the story is about,where it happens,what happens","0-1,1-2,2-3,3-0",190,2,CCSS.ELA.RL.2.5,story structure,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.5"
English,Grade 2,Match each prefix to its meaning.,Match prefixes.,Matching,"un-,re-,pre-,dis-","again,before,not or opposite,not","0-3,1-0,2-2,3-1",192,2,CCSS.ELA.L.2.4,prefixes,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 2,Match each word to its homophone.,Match words that sound alike.,Matching,"see,to,two,hear","too,here,sea,to","0-2,1-3,2-0,3-1",195,1,CCSS.ELA.L.2.4,homophones,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5"
English,Grade 2,Match each type of sentence to its end mark.,Match sentence type to punctuation.,Matching,"statement,question,exclamation,command","? ,. ,. ,! ","0-1,1-0,2-3,3-2",198,1,CCSS.ELA.L.2.2,sentence types,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2"
English,Grade 2,Match each adjective to the noun it describes.,Match adjective to noun.,Matching,"red,round,soft,loud","pillow,horn,apple,ball","0-2,1-3,2-0,3-1",200,1,CCSS.ELA.L.2.1,adjectives,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 2,Match each verb to its past tense.,Match present to past tense.,Matching,"run,jump,play,walk","jumped,played,ran,walked","0-2,1-0,2-3,3-1",178,1,CCSS.ELA.L.2.1,verb tense,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 2,Match each contraction to the two words.,Match contractions.,Matching,"don't,can't,isn't,we're","we are,do not,cannot,is not","0-1,1-2,2-3,3-0",180,1,CCSS.ELA.L.2.2,contractions,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2"
English,Grade 3,Match each word to its definition.,Match vocabulary to definitions.,Matching,"enormous,rapidly,disappear,ancient","very quickly,vanish,very old,very large","0-3,1-0,2-1,3-2",205,2,CCSS.ELA.L.3.4,vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 3,Match each genre to its description.,Match genre to description.,Matching,"fiction,nonfiction,poetry,folktale","traditional tale,made-up story,true facts,verse and rhythm","0-1,1-2,2-3,3-0",208,2,CCSS.ELA.RL.3.5,genre,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9"
English,Grade 3,Match each root word to the word with a suffix.,Match root to suffixed word.,Matching,"hope,care,quick,slow","quickly,hopeful,slowly,careful","0-1,1-3,2-0,3-2",212,1,CCSS.ELA.L.3.4,suffixes,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 3,Match each pronoun to the noun it replaces.,Match pronoun to antecedent.,Matching,"he,she,it,they","girl,group,boy,thing","0-2,1-0,2-3,3-1",215,1,CCSS.ELA.L.3.1,pronouns,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 3,Match each figurative phrase to its meaning.,Match idiom or simile to meaning.,Matching,"as fast as lightning,raining cats and dogs,break a leg,piece of cake","good luck,easy,very fast,raining hard","0-2,1-3,2-0,3-1",218,2,CCSS.ELA.L.3.5,figurative language,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.L.6"
English,Grade 3,Match each author's purpose to an example.,Match purpose to example.,Matching,"inform,entertain,persuade,describe","show details,give facts,tell a story,convince","0-1,1-2,2-3,3-0",220,2,CCSS.ELA.RI.3.6,author purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8"
