Subject,Grade,QuestionText,Description,questionType,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 1,What is the main idea of a story? Explain in one or two sentences.,State the main idea in your own words.,ShortAnswer,120,1,CCSS.ELA-LITERACY.RL.1.2,Main idea,CCSS.ELA.CCR.R.2
English,Grade 1,Who is the main character in the story? Describe them briefly.,Name and describe the character.,ShortAnswer,115,1,CCSS.ELA-LITERACY.RL.1.3,Characters,CCSS.ELA.CCR.R.3
English,Grade 1,What happened at the beginning of the story?,Retell the beginning in your own words.,ShortAnswer,110,1,CCSS.ELA-LITERACY.RL.1.2,Story sequence,CCSS.ELA.CCR.R.2
English,Grade 1,What is your favorite part of the story? Why?,Give a reason in one or two sentences.,ShortAnswer,118,2,CCSS.ELA-LITERACY.W.1.1,Opinion writing,CCSS.ELA.CCR.W.1
English,Grade 1,What does the word big mean? Use it in a sentence.,Define and use the word.,ShortAnswer,105,1,CCSS.ELA-LITERACY.L.1.4,Vocabulary,CCSS.ELA.CCR.L.4
English,Grade 1,How are these two characters the same? How are they different?,Compare and contrast in a few sentences.,ShortAnswer,125,2,CCSS.ELA-LITERACY.RL.1.9,Compare and contrast,CCSS.ELA.CCR.R.9
English,Grade 1,What do you think will happen next in the story? Why?,Make a prediction and explain.,ShortAnswer,122,2,CCSS.ELA-LITERACY.RL.1.1,Prediction,CCSS.ELA.CCR.R.1
English,Grade 1,What is the setting of the story? Where and when does it take place?,Describe the setting.,ShortAnswer,112,1,CCSS.ELA-LITERACY.RL.1.3,Setting,CCSS.ELA.CCR.R.3
English,Grade 1,Why did the character do that? Explain in one sentence.,Give a reason from the story.,ShortAnswer,128,2,CCSS.ELA-LITERACY.RL.1.1,Inference,CCSS.ELA.CCR.R.1
English,Grade 1,What is the problem in the story? What is the solution?,Identify problem and solution.,ShortAnswer,130,2,CCSS.ELA-LITERACY.RL.1.2,Problem and solution,CCSS.ELA.CCR.R.2
English,Grade 2,What is the central message of this story? Explain in two sentences.,State the lesson or message.,ShortAnswer,135,2,CCSS.ELA-LITERACY.RL.2.2,Central message,CCSS.ELA.CCR.R.2
English,Grade 2,How does the author show that the character is brave? Give examples.,Cite evidence from the text.,ShortAnswer,140,2,CCSS.ELA-LITERACY.RL.2.3,Character traits,CCSS.ELA.CCR.R.3
English,Grade 2,What is the difference between fact and opinion? Give one example of each.,Define and give examples.,ShortAnswer,138,2,CCSS.ELA-LITERACY.RI.2.8,Fact and opinion,CCSS.ELA.CCR.R.8
English,Grade 2,Describe the beginning middle and end of the story in one sentence each.,Summarize the plot.,ShortAnswer,132,2,CCSS.ELA-LITERACY.RL.2.5,Story structure,CCSS.ELA.CCR.R.5
English,Grade 2,What does the word enormous mean? How did you figure it out?,Use context clues to explain.,ShortAnswer,142,2,CCSS.ELA-LITERACY.L.2.4,Context clues,CCSS.ELA.CCR.L.4
English,Grade 2,Why did the author write this text? What was their purpose?,Identify author purpose.,ShortAnswer,145,2,CCSS.ELA-LITERACY.RI.2.6,Author purpose,CCSS.ELA.CCR.R.6
English,Grade 2,Compare the two stories. How are they alike? How are they different?,Compare two texts.,ShortAnswer,148,2,CCSS.ELA-LITERACY.RL.2.9,Compare texts,CCSS.ELA.CCR.R.9
English,Grade 2,What is the main topic of this paragraph? List two supporting details.,Main idea and details.,ShortAnswer,136,2,CCSS.ELA-LITERACY.RI.2.2,Main topic,CCSS.ELA.CCR.R.2
English,Grade 2,Describe how the character changes from the beginning to the end.,Character development.,ShortAnswer,150,2,CCSS.ELA-LITERACY.RL.2.3,Character change,CCSS.ELA.CCR.R.3
English,Grade 2,What would you do if you were this character? Explain why.,Connect to the text.,ShortAnswer,144,2,CCSS.ELA-LITERACY.RL.2.1,Text connection,CCSS.ELA.CCR.R.1
English,Grade 3,What is the theme of this story? Use evidence from the text to support your answer.,Identify theme and cite evidence.,ShortAnswer,160,2,CCSS.ELA-LITERACY.RL.3.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 3,How does the author help you understand the story? Give two examples from the text.,Explain how the text supports meaning.,ShortAnswer,155,2,CCSS.ELA-LITERACY.RL.3.7,Text and meaning,CCSS.ELA.CCR.R.7
English,Grade 3,What is the point of view of this story? How do you know?,Identify narrator and explain.,ShortAnswer,162,2,CCSS.ELA-LITERACY.RL.3.6,Point of view,CCSS.ELA.CCR.R.6
