Subject,Grade,QuestionText,Description,questionType,correctAnswer,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Science,Grade 1,Plants need sunlight and water to grow.,What plants need to live.,TrueFalse,TRUE,105,1,1-LS1-1,Basic needs of plants,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 1,The Sun gives us light during the day.,Day and night pattern.,TrueFalse,TRUE,100,1,1-ESS1-1,Sun and daylight,NGSS.SEP.6 NGSS.DCI.ESS1
Science,Grade 1,Animals can live without air.,What animals need to breathe.,TrueFalse,FALSE,108,1,1-LS1-1,Basic needs of animals,NGSS.SEP.2 NGSS.DCI.LS1
Science,Grade 1,Pushing an object can make it move.,Effect of a push.,TrueFalse,TRUE,102,1,K-PS2-1,Pushes and motion,NGSS.SEP.2 NGSS.DCI.PS2
Science,Grade 1,All living things need food to stay alive.,Needs of living things.,TrueFalse,TRUE,110,1,1-LS1-1,Needs of living things,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 1,"A butterfly goes through stages before it becomes an adult. {sci_tf_g1_q6.png}",Image shows life cycle stages; statement about metamorphosis.,TrueFalse,TRUE,125,2,1-LS1-2,Life cycle stages,NGSS.SEP.4 NGSS.DCI.LS1 NGSS.CCC.4
Science,Grade 1,The Moon gives off its own light.,Source of moonlight.,TrueFalse,FALSE,115,1,1-ESS1-1,Night sky and Moon,NGSS.SEP.6 NGSS.DCI.ESS1
Science,Grade 1,"In the experiment, seeds in the sunny cup grew more than seeds in the dark cup.",Claim from described dataset: sun vs dark.,TrueFalse,TRUE,132,2,K-ESS2-2,Data and plant growth,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 1,Rocks are living things.,Living vs nonliving.,TrueFalse,FALSE,118,1,K-ESS2-1,Living and nonliving,NGSS.SEP.6 NGSS.DCI.ESS2
Science,Grade 1,"The table showed that the plant with water grew taller; the statement ""plants need water to grow"" is supported.",Claim from described dataset.,TrueFalse,TRUE,128,2,1-LS1-1,Data claim about plant needs,NGSS.SEP.5 NGSS.DCI.LS1 NGSS.CCC.2
Science,Grade 2,A habitat is where an animal lives.,Definition of habitat.,TrueFalse,TRUE,115,1,2-LS4-1,Habitats,NGSS.SEP.6 NGSS.DCI.LS2
Science,Grade 2,Matter can be solid or liquid.,States of matter.,TrueFalse,TRUE,108,1,2-PS1-1,Solid and liquid,NGSS.SEP.2 NGSS.DCI.PS1
Science,Grade 2,Gravity pulls things toward Earth.,Effect of gravity.,TrueFalse,TRUE,120,1,K-PS2-1,Gravity,NGSS.SEP.6 NGSS.DCI.PS2
