Subject,Grade,QuestionText,Description,questionType,blankOptions,blankCorrects,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 1,"___ + 4 = 7. So the missing number is ___.",Find the missing addend; two blanks for equation and answer.,FillInBlank,"3,4,5; 3,4,5","A;A",115,2,CCSS.MATH.CONTENT.1.OA.C.6,Add within 20,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 1,"There are ___ apples in the picture.",Count the objects.,FillInBlank,"7,8,9",B,105,1,CCSS.MATH.CONTENT.1.OA.C.5,Count to answer how many,CCSS.MATH.MP.4 CCSS.MATH.DOM.CC
Maths,Grade 1,"8 − 3 = ___.",Find the difference.,FillInBlank,"4,5,6",B,102,1,CCSS.MATH.CONTENT.1.OA.C.6,Subtract within 20,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 1,"The number ___ is greater than 6 and less than 8.",Identify the number between 6 and 8.,FillInBlank,"5,6,7",C,115,2,CCSS.MATH.CONTENT.1.NBT.A.1,Compare two-digit numbers,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 1,"A square has ___ sides.",Name the number of sides of a shape.,FillInBlank,"3,4,5",B,108,1,CCSS.MATH.CONTENT.1.G.A.1,Identify shape attributes,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 1,"Jamal has 5 marbles. He gets 3 more. Now he has ___ marbles. {math_fitb_g1_q6.png}",Word problem: image shows 5 then 3 marbles; find total.,FillInBlank,"6,7,8",C,125,2,CCSS.MATH.CONTENT.1.OA.A.1,Addition word problem within 20,CCSS.MATH.MP.1 CCSS.MATH.DOM.OA
Maths,Grade 1,"10 = ___ + 6.",Find the missing addend.,FillInBlank,"3,4,5",B,118,2,CCSS.MATH.CONTENT.1.OA.D.8,Missing addend equation,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 1,"The longer pencil has ___ units; the shorter has ___.",Two blanks: measure two pencils with same unit.,FillInBlank,"5,6,7; 3,4,5","B;B",135,2,CCSS.MATH.CONTENT.1.MD.A.2,Length in whole units,CCSS.MATH.MP.5 CCSS.MATH.DOM.MD
Maths,Grade 1,"7 is ___ than 5; 3 is ___ than 5.",Compare numbers with word; two blanks.,FillInBlank,"less,greater,equal; less,greater,equal","B;A",125,2,CCSS.MATH.CONTENT.1.NBT.B.3,Compare two numbers,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 1,"Layla has 9 stickers. She gives 4 away. She has ___ stickers left.",Word problem: subtraction result.,FillInBlank,"4,5,6",B,128,2,CCSS.MATH.CONTENT.1.OA.A.1,Subtraction word problem,CCSS.MATH.MP.1 CCSS.MATH.DOM.OA
