Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswers,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Science,Grade 1,Which two are living things?,Select all living things,MultipleSelect,plant,dog,rock,water,"[A,B]",155,1,1-LS1-1,living vs nonliving,"NGSS.SEP.1, NGSS.DCI.LS1, NGSS.CCC.4"
Science,Grade 1,Which need light to grow?,Select what plants need,MultipleSelect,sunlight,water,dark only,soil,"[A,B]",162,1,1-LS1-1,plant needs,"NGSS.SEP.3, NGSS.DCI.LS1, NGSS.CCC.2"
Science,Grade 1,Look at the picture. Which two show daytime? {sci_ms_g1_q3.png} (Select all that apply),Select daytime from image,MultipleSelect,option A,option B,option C,option D,"[A,B]",168,1,1-ESS1-1,day and night,"NGSS.SEP.4, NGSS.DCI.ESS1, NGSS.CCC.1"
Science,Grade 1,Which are ways to push or pull?,Select forces,MultipleSelect,push,pull,hold still,drop,"[A,B]",158,1,K-PS2-1,forces and motion,"NGSS.SEP.2, NGSS.DCI.PS2, NGSS.CCC.2"
Science,Grade 1,Which two make sound?,Select sound sources,MultipleSelect,bell,drum,feather,stone,"[A,B]",172,1,1-PS4-1,sound,"NGSS.SEP.1, NGSS.DCI.PS4, NGSS.CCC.5"
Science,Grade 1,Which keep us warm?,Select insulators,MultipleSelect,coat,blanket,ice,metal in winter,"[A,B]",165,1,K-PS3-1,heating and cooling,"NGSS.SEP.6, NGSS.DCI.PS3, NGSS.CCC.5"
Science,Grade 1,Which are parts of a plant?,Select plant parts,MultipleSelect,root,leaf,stone,plastic,"[A,B]",170,1,1-LS1-1,plant structures,"NGSS.SEP.2, NGSS.DCI.LS1, NGSS.CCC.6"
Science,Grade 1,Which two show weather?,Select weather types,MultipleSelect,sunny,rainy,chair,table,"[A,B]",160,1,K-ESS2-1,weather,"NGSS.SEP.4, NGSS.DCI.ESS2, NGSS.CCC.7"
Science,Grade 1,Which can change shape when pushed?,Select materials that change,MultipleSelect,clay,sponge,rock,brick,"[A,B]",175,1,K-PS2-1,materials,"NGSS.SEP.3, NGSS.DCI.PS2, NGSS.CCC.4"
Science,Grade 1,Which two are needed by animals?,Select animal needs,MultipleSelect,air,food,plastic,metal,"[A,B]",178,1,1-LS1-1,animal needs,"NGSS.SEP.1, NGSS.DCI.LS1, NGSS.CCC.4"
