Subject,Grade,QuestionText,Description,questionType,correctAnswer,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 1,3 + 4 equals 7.,Basic addition fact.,TrueFalse,TRUE,100,1,CCSS.MATH.CONTENT.1.OA.A.1,Addition within 20,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 1,5 is greater than 8.,Comparing numbers.,TrueFalse,FALSE,105,1,CCSS.MATH.CONTENT.1.NBT.B.3,Compare two-digit numbers,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 1,When you add zero to a number the number stays the same.,Property of zero.,TrueFalse,TRUE,108,1,CCSS.MATH.CONTENT.1.OA.B.3,Properties of addition,CCSS.MATH.MP.7 CCSS.MATH.DOM.OA
Maths,Grade 1,10 can be written as one ten and zero ones.,Place value.,TrueFalse,TRUE,102,1,CCSS.MATH.CONTENT.1.NBT.B.2,Place value tens and ones,CCSS.MATH.MP.4 CCSS.MATH.DOM.NBT
Maths,Grade 1,A square has 4 sides.,Shape attribute.,TrueFalse,TRUE,100,1,CCSS.MATH.CONTENT.1.G.A.1,Shape attributes,CCSS.MATH.MP.6 CCSS.MATH.DOM.G
Maths,Grade 1,"The number line shows that 6 is to the right of 4. {math_tf_g1_q6.png}",Image: number line 0–10 with 4 and 6 marked.,TrueFalse,TRUE,120,2,CCSS.MATH.CONTENT.1.NBT.B.3,Number line and order,CCSS.MATH.MP.4 CCSS.MATH.DOM.NBT
Maths,Grade 1,2 + 3 is the same as 3 + 2.,Commutative property.,TrueFalse,TRUE,115,2,CCSS.MATH.CONTENT.1.OA.B.3,Commutative property of addition,CCSS.MATH.MP.3 CCSS.MATH.DOM.OA
Maths,Grade 1,The number 7 is less than 5.,Comparing numbers.,TrueFalse,FALSE,108,1,CCSS.MATH.CONTENT.1.NBT.B.3,Compare numbers,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 1,A triangle has 3 corners.,Shape attribute.,TrueFalse,TRUE,102,1,CCSS.MATH.CONTENT.1.G.A.1,Shape attributes,CCSS.MATH.MP.6 CCSS.MATH.DOM.G
Maths,Grade 1,"If you have 5 objects and add 0 more you still have 5.",Conceptual claim about zero.,TrueFalse,TRUE,118,2,CCSS.MATH.CONTENT.1.OA.A.1,Addition and identity,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 2,25 + 13 equals 38.,Two-digit addition.,TrueFalse,TRUE,110,1,CCSS.MATH.CONTENT.2.NBT.B.5,Fluently add within 100,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 2,100 is the same as 10 tens.,Place value.,TrueFalse,TRUE,105,1,CCSS.MATH.CONTENT.2.NBT.A.1,Place value hundreds,CCSS.MATH.MP.7 CCSS.MATH.DOM.NBT
Maths,Grade 2,Half of 8 is 3.,Simple fraction.,TrueFalse,FALSE,115,1,CCSS.MATH.CONTENT.2.G.A.3,Partition circles and rectangles,CCSS.MATH.MP.6 CCSS.MATH.DOM.G
Maths,Grade 2,When you subtract 0 from a number the number stays the same.,Property of subtraction.,TrueFalse,TRUE,108,1,CCSS.MATH.CONTENT.2.OA.B.2,Subtraction facts,CCSS.MATH.MP.7 CCSS.MATH.DOM.OA
Maths,Grade 2,The length of 3 unit cubes in a row is 3 units.,Length measurement.,TrueFalse,TRUE,112,1,CCSS.MATH.CONTENT.2.MD.A.1,Measure length by units,CCSS.MATH.MP.4 CCSS.MATH.DOM.MD
Maths,Grade 2,"The bar model shows that 7 + 5 = 12. {math_tf_g2_q6.png}",Image: bar model for 7 + 5.,TrueFalse,TRUE,125,2,CCSS.MATH.CONTENT.2.OA.A.1,Addition word problems,CCSS.MATH.MP.4 CCSS.MATH.DOM.OA
Maths,Grade 2,67 is greater than 76.,Comparing two-digit numbers.,TrueFalse,FALSE,118,1,CCSS.MATH.CONTENT.2.NBT.A.4,Compare two three-digit numbers,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 2,Adding 10 to 45 gives 55.,Mental math add 10.,TrueFalse,TRUE,108,1,CCSS.MATH.CONTENT.2.NBT.B.8,Mentally add 10 or 100,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 2,"The order in which you add two numbers does not change the sum.",Commutative property reasoning.,TrueFalse,TRUE,122,2,CCSS.MATH.CONTENT.2.OA.B.2,Commutative property,CCSS.MATH.MP.3 CCSS.MATH.DOM.OA
Maths,Grade 2,A rectangle has 4 equal sides.,Rectangle attributes.,TrueFalse,FALSE,120,1,CCSS.MATH.CONTENT.2.G.A.1,Shape attributes,CCSS.MATH.MP.6 CCSS.MATH.DOM.G
Maths,Grade 3,7 × 4 equals 28.,Multiplication fact.,TrueFalse,TRUE,115,1,CCSS.MATH.CONTENT.3.OA.A.1,Interpret products,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 3,One half is greater than one third.,Compare fractions same numerator.,TrueFalse,TRUE,125,1,CCSS.MATH.CONTENT.3.NF.A.3,Compare fractions,CCSS.MATH.MP.6 CCSS.MATH.DOM.NF
Maths,Grade 3,348 rounded to the nearest ten is 350.,Round to nearest ten.,TrueFalse,TRUE,118,1,CCSS.MATH.CONTENT.3.NBT.A.1,Round to nearest 10 or 100,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 3,6 ÷ 2 equals 4.,Division fact.,TrueFalse,FALSE,112,1,CCSS.MATH.CONTENT.3.OA.A.2,Interpret whole-number quotients,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 3,A square is a special kind of rectangle.,Relationship between shapes.,TrueFalse,TRUE,130,2,CCSS.MATH.CONTENT.3.G.A.1,Shape categories,CCSS.MATH.MP.3 CCSS.MATH.DOM.G
Maths,Grade 3,"The array shows 3 rows of 5. {math_tf_g3_q6.png}",Image: 3×5 array of squares.,TrueFalse,TRUE,128,2,CCSS.MATH.CONTENT.3.OA.A.1,Arrays and multiplication,CCSS.MATH.MP.4 CCSS.MATH.DOM.OA
Maths,Grade 3,The area of a rectangle 4 units by 3 units is 12 square units.,Area formula.,TrueFalse,TRUE,120,1,CCSS.MATH.CONTENT.3.MD.C.7,Area of rectangle,CCSS.MATH.MP.4 CCSS.MATH.DOM.MD
