Subject,Grade,QuestionText,Description,questionType,leftItems,rightItems,correctPairs,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 1,Match each number to the word.,Match numerals to number words.,Matching,"3,5,7,10","seven,ten,three,five","0-2,1-3,2-0,3-1",155,1,CCSS.MATH.CONTENT.1.NBT.A.1,number names,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 1,Match each operation to its symbol. {math_match_g1_sym.png},Match the four operations to the four symbols in the image.,Matching,"Add,Subtract,Multiply,Divide","symbol B,symbol D,symbol A,symbol C","0-2,1-0,2-3,3-1",162,1,CCSS.MATH.CONTENT.1.OA.A.1,operations,"CCSS.MATH.MP.5, CCSS.MATH.DOM.OA"
Maths,Grade 1,Match each shape to its name.,Match shapes to names.,Matching,"circle,square,triangle,rectangle","triangle,circle,rectangle,square","0-1,1-3,2-0,3-2",158,1,CCSS.MATH.CONTENT.1.G.A.1,shapes,"CCSS.MATH.MP.7, CCSS.MATH.DOM.G"
Maths,Grade 1,Match each expression to its sum.,Match addition to answer.,Matching,"2+3,4+1,3+2,1+4","4,5,5,5","0-1,1-2,2-3,3-0",165,1,CCSS.MATH.CONTENT.1.OA.C.6,addition,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 1,Match each number to tens and ones.,Match place value.,Matching,"23,15,30,41","3 tens 0 ones,2 tens 3 ones,1 ten 5 ones,4 tens 1 one","0-1,1-2,2-0,3-3",168,1,CCSS.MATH.CONTENT.1.NBT.B.2,tens and ones,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NBT"
Maths,Grade 1,Match the symbol to its meaning.,Match comparison symbols.,Matching,"=,>,<,+","less than,plus,equal,greater than","0-2,1-3,2-0,3-1",170,1,CCSS.MATH.CONTENT.1.NBT.B.3,compare,"CCSS.MATH.MP.3, CCSS.MATH.DOM.NBT"
Maths,Grade 1,Match each subtraction to its answer.,Match subtraction facts.,Matching,"5-2,6-3,7-4,8-5","4,3,3,3","0-1,1-2,2-0,3-3",172,1,CCSS.MATH.CONTENT.1.OA.A.1,subtraction,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 1,Match each length to the correct object.,Match measure to object.,Matching,"short,long,medium,tall","pencil,ruler,book,door","0-2,1-3,2-0,3-1",175,1,CCSS.MATH.CONTENT.1.MD.A.1,length,"CCSS.MATH.MP.5, CCSS.MATH.DOM.MD"
Maths,Grade 1,Match each number to the position.,Match number order.,Matching,"first,second,third,fourth","2nd,4th,1st,3rd","0-2,1-0,2-3,3-1",178,1,CCSS.MATH.CONTENT.1.NBT.A.1,order,"CCSS.MATH.MP.8, CCSS.MATH.DOM.NBT"
Maths,Grade 1,Match each pair to the sum 10.,Match number bonds to 10.,Matching,"6+4,7+3,8+2,9+1","10,10,10,10","0-2,1-0,2-3,3-1",160,2,CCSS.MATH.CONTENT.1.OA.C.6,number bonds,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA"
Maths,Grade 2,Match each expression to 100.,Match sums to 100.,Matching,"50+50,25+75,60+40,30+70","100,100,100,100","0-2,1-0,2-3,3-1",182,2,CCSS.MATH.CONTENT.2.NBT.B.5,add to 100,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 2,Match each number to odd or even.,Match odd and even.,Matching,"7,8,9,10","even,odd,even,odd","0-1,1-0,2-3,3-2",185,1,CCSS.MATH.CONTENT.2.OA.C.3,odd even,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA"
Maths,Grade 2,Match each shape to its number of sides. {math_match_g2_sides.png},Match the four shapes to the four side counts in the image.,Matching,"triangle,square,pentagon,hexagon","5,6,3,4","0-2,1-3,2-0,3-1",188,1,CCSS.MATH.CONTENT.2.G.A.1,shape attributes,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G"
Maths,Grade 2,Match each multiplication to its product.,Match multiplication facts.,Matching,"3×4,4×3,2×6,6×2","12,12,12,12","0-1,1-0,2-3,3-2",190,2,CCSS.MATH.CONTENT.2.OA.C.4,multiplication,"CCSS.MATH.MP.2, CCSS.MATH.DOM.OA"
Maths,Grade 2,Match each number to its rounded value.,Match rounding to nearest 10.,Matching,"47,52,45,55","50,60,50,50","0-0,1-2,2-3,3-1",192,2,CCSS.MATH.CONTENT.2.NBT.A.1,rounding,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 2,Match each unit to what it measures.,Match measurement units.,Matching,"cm,m,L,kg","volume,mass,length,length","0-2,1-3,2-0,3-1",195,1,CCSS.MATH.CONTENT.2.MD.A.1,units,"CCSS.MATH.MP.5, CCSS.MATH.DOM.MD"
