Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswers,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 1,Which two show the same number?,Select all that show the same number,MultipleSelect,5,3+2,4+1,2,"[A,B,C]",155,1,CCSS.MATH.CONTENT.1.OA.A.1,number sense,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 1,Which are ways to make 10?,Select all number pairs that make 10,MultipleSelect,6+4,7+2,3+7,5+5,"[A,C,D]",162,2,CCSS.MATH.CONTENT.1.OA.C.6,add within 20,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA"
Maths,Grade 1,Look at the shapes. Which two are triangles? {math_ms_g1_q3.png} (Select all that apply),Select all triangles from the image,MultipleSelect,triangle A,triangle B,square,circle,"[A,B]",168,1,CCSS.MATH.CONTENT.1.G.A.1,shape attributes,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G"
Maths,Grade 1,Which numbers are greater than 8?,Select all numbers greater than 8,MultipleSelect,9,10,7,6,"[A,B]",158,1,CCSS.MATH.CONTENT.1.NBT.B.3,compare numbers,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NBT"
Maths,Grade 1,Which two are addition facts for 7?,Select all that equal 7,MultipleSelect,3+4,2+5,6+2,1+8,"[A,B]",172,1,CCSS.MATH.CONTENT.1.OA.A.1,addition facts,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 1,Which shapes have 4 sides?,Select all shapes with 4 sides,MultipleSelect,square,rectangle,triangle,circle,"[A,B]",165,1,CCSS.MATH.CONTENT.1.G.A.1,attributes of shapes,"CCSS.MATH.MP.7, CCSS.MATH.DOM.G"
Maths,Grade 1,Which are true?,Select all true number sentences,MultipleSelect,5=5,3+2=5,4>6,2<1,"[A,B]",170,2,CCSS.MATH.CONTENT.1.OA.D.7,true false equations,"CCSS.MATH.MP.3, CCSS.MATH.DOM.OA"
Maths,Grade 1,Which two show tens and ones?,Select place value representations,MultipleSelect,23,30+4,5,10+7,"[A,B,D]",160,1,CCSS.MATH.CONTENT.1.NBT.B.2,tens and ones,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NBT"
Maths,Grade 1,Which numbers come between 14 and 18?,Select all numbers between 14 and 18,MultipleSelect,15,16,19,13,"[A,B]",175,1,CCSS.MATH.CONTENT.1.NBT.A.1,number order,"CCSS.MATH.MP.8, CCSS.MATH.DOM.NBT"
Maths,Grade 1,Which are subtraction facts for 9?,Select all that equal 9 when subtracting,MultipleSelect,10-1,9-0,8-2,11-3,"[A,B]",178,1,CCSS.MATH.CONTENT.1.OA.A.1,subtraction facts,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 2,Which two equal 100?,Select all that equal 100,MultipleSelect,50+50,90+10,60+50,25+75,"[A,B,D]",185,2,CCSS.MATH.CONTENT.2.NBT.B.5,add subtract within 100,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 2,Which are odd numbers?,Select all odd numbers,MultipleSelect,7,12,9,4,"[A,C]",182,1,CCSS.MATH.CONTENT.2.OA.C.3,odd and even,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA"
Maths,Grade 2,Which shapes have right angles?,Select all shapes with a right angle,MultipleSelect,square,rectangle,circle,triangle,"[A,B]",192,1,CCSS.MATH.CONTENT.2.G.A.1,shape attributes,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G"
Maths,Grade 2,Which two are ways to show 3 groups of 4?,Select multiplication representations,MultipleSelect,4+4+4,3×4,4+3,3+3+3+3,"[A,B]",188,2,CCSS.MATH.CONTENT.2.OA.C.4,equal groups,"CCSS.MATH.MP.2, CCSS.MATH.DOM.OA"
Maths,Grade 2,From the picture which two show half? {math_ms_g2_q5.png} (Select all that apply),Select shapes split in half,MultipleSelect,shape A,shape B,shape C,shape D,"[A,B]",198,2,CCSS.MATH.CONTENT.2.G.A.3,partition shapes,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G"
Maths,Grade 2,Which numbers round to 50?,Select all that round to 50,MultipleSelect,47,52,45,55,"[A,B]",190,2,CCSS.MATH.CONTENT.2.NBT.A.1,place value and rounding,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 2,Which are lengths you could measure with a ruler?,Select measurable lengths,MultipleSelect,5 cm,10 inches,heavy,fast,"[A,B]",195,1,CCSS.MATH.CONTENT.2.MD.A.1,measure length,"CCSS.MATH.MP.5, CCSS.MATH.DOM.MD"
Maths,Grade 2,Which two make 15?,Select number pairs that sum to 15,MultipleSelect,8+7,9+6,10+4,5+5,"[A,B]",180,1,CCSS.MATH.CONTENT.2.OA.B.2,fluent add subtract,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 2,Which are correct for 6×3?,Select all equal to 6×3,MultipleSelect,18,6+6+6,3+3+3+3+3+3,9,"[A,B,C]",200,2,CCSS.MATH.CONTENT.2.OA.C.4,meaning of multiplication,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA"
Maths,Grade 2,Which show the same amount of time?,Select equivalent times,MultipleSelect,30 minutes,half hour,2 quarters,60 minutes,"[A,B,C]",197,1,CCSS.MATH.CONTENT.2.MD.C.7,time to 5 minutes,"CCSS.MATH.MP.6, CCSS.MATH.DOM.MD"
Maths,Grade 3,Which two are equivalent to 1/2?,Select all equivalent to one half,MultipleSelect,2/4,3/6,1/3,2/3,"[A,B]",208,2,CCSS.MATH.CONTENT.3.NF.A.3,equivalent fractions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NF"
Maths,Grade 3,Which are multiples of 5?,Select all multiples of 5,MultipleSelect,15,20,22,35,"[A,B,D]",205,1,CCSS.MATH.CONTENT.3.OA.A.1,multiplication facts,"CCSS.MATH.MP.8, CCSS.MATH.DOM.OA"
Maths,Grade 3,Which shapes have area 12 square units?,Select shapes with area 12,MultipleSelect,3×4 rectangle,6×2 rectangle,2×5 rectangle,12×1 rectangle,"[A,B,D]",212,2,CCSS.MATH.CONTENT.3.MD.C.7,area of rectangles,"CCSS.MATH.MP.4, CCSS.MATH.DOM.MD"
Maths,Grade 3,Look at the array. Which two expressions match? {math_ms_g3_q4.png} (Select all that apply),Select expressions for the array,MultipleSelect,4×5,5×4,4+5,20,"[A,B,D]",218,2,CCSS.MATH.CONTENT.3.OA.A.1,arrays and multiplication,"CCSS.MATH.MP.5, CCSS.MATH.DOM.OA"
Maths,Grade 3,Which numbers are factors of 24?,Select all factors of 24,MultipleSelect,6,8,5,12,"[A,B,D]",202,2,CCSS.MATH.CONTENT.3.OA.B.5,factors and multiples,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA"
Maths,Grade 3,Which two have perimeter 16?,Select shapes with perimeter 16 units,MultipleSelect,4×4 square,5+5+3+3 rectangle,8×2 rectangle,6+6+2+2,"[A,B]",215,2,CCSS.MATH.CONTENT.3.MD.D.8,perimeter,"CCSS.MATH.MP.2, CCSS.MATH.DOM.MD"
Maths,Grade 3,Which are correct?,Select all true statements,MultipleSelect,7×8=56,9×6=54,4×9=35,6×7=42,"[A,B,D]",210,1,CCSS.MATH.CONTENT.3.OA.C.7,multiplication fluency,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
