Subject,Grade,QuestionText,Description,questionType,blankOptions,blankCorrects,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Science,Grade 1,"Plants need ___ and water to grow.",Choose what plants need.,FillInBlank,"sunlight,wind,soil",A,110,1,1-LS1-1,What plants need to grow,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 1,"A ___ has four seasons in a year.",Name the cycle.,FillInBlank,"day,week,year",C,105,1,1-ESS1-2,Patterns of seasons,NGSS.SEP.4 NGSS.DCI.ESS1
Science,Grade 1,"We use our ___ to see things.",Name the sense organ.,FillInBlank,"ears,eyes,nose",B,100,1,1-LS1-1,How organisms sense,NGSS.SEP.6 NGSS.DCI.LS1
Science,Grade 1,"The Sun appears to move across the ___ during the day.",Describe day pattern.,FillInBlank,"moon,sky,ground",B,115,1,1-ESS1-1,Sun and daylight,NGSS.SEP.4 NGSS.DCI.ESS1
Science,Grade 1,"Animals need ___ to breathe.",What animals need.,FillInBlank,"food,air,water",B,108,1,1-LS1-1,Basic needs of animals,NGSS.SEP.2 NGSS.DCI.LS1
Science,Grade 1,"A butterfly goes through ___ before it becomes an adult. {sci_fitb_g1_q6.png}",Image shows life stages; name the process.,FillInBlank,"stages,colors,sounds",A,125,2,1-LS1-2,Life cycle stages,NGSS.SEP.4 NGSS.DCI.LS1 NGSS.CCC.4
Science,Grade 1,"When we push something it ___; when we pull it ___ too.",Two blanks: push and pull.,FillInBlank,"stops,moves,falls; moves,stops,rests","B;B",120,2,K-PS2-1,Pushes and motion,NGSS.SEP.2 NGSS.DCI.PS2
Science,Grade 1,"Day is when the ___ is up.",When it is day.,FillInBlank,"moon,Sun,stars",B,102,1,1-ESS1-1,Day and night,NGSS.SEP.6 NGSS.DCI.ESS1
Science,Grade 1,"Living things need ___ to stay alive; they get it from ___.",Two blanks: need and source.,FillInBlank,"food,air,light; plants,sun,water","A;B",135,2,1-LS1-1,Needs of living things,NGSS.SEP.2 NGSS.DCI.LS1
Science,Grade 1,"The table shows seeds in sun and ___. Most grew in ___.",Data: two blanks.,FillInBlank,"shade,dark,water; sun,shade,dark","A;C",132,2,K-ESS2-2,Simple data conclusion,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 2,"A ___ is where an animal lives.",Name the place.,FillInBlank,"habitat,food,color",A,120,1,2-LS4-1,Habitats,NGSS.SEP.6 NGSS.DCI.LS2
Science,Grade 2,"Matter can be ___ or liquid.",State of matter.,FillInBlank,"solid,gas,hot",A,115,1,2-PS1-1,Solid and liquid,NGSS.SEP.2 NGSS.DCI.PS1
Science,Grade 2,"The ___ pulls things toward Earth.",Name the force.,FillInBlank,"wind,magnet,gravity",C,125,1,K-PS2-1,Gravity,NGSS.SEP.6 NGSS.DCI.PS2
Science,Grade 2,"Plants get ___ from the soil through their roots.",What roots take in.,FillInBlank,"water,light,air",A,118,1,2-LS2-1,Plant parts and function,NGSS.SEP.4 NGSS.DCI.LS2
Science,Grade 2,"Rocks can be small or ___.",Property of rocks.,FillInBlank,"soft,large,light",B,108,1,2-ESS2-1,Properties of Earth materials,NGSS.SEP.2 NGSS.DCI.ESS2
Science,Grade 2,"The graph shows that more plants grew with ___. {sci_fitb_g2_q6.png}",Image shows bar graph; conclude from data.,FillInBlank,"light,no water,dark",A,140,2,2-LS2-1,Data and plant growth,NGSS.SEP.4 NGSS.DCI.LS2 NGSS.CCC.3
Science,Grade 2,"When we heat ice it turns into ___; when we heat water it can turn into ___.",Two blanks: melting and evaporation.,FillInBlank,"steam,water,snow; steam,ice,vapor","B;A",145,2,2-PS1-4,Heating and melting,NGSS.SEP.2 NGSS.DCI.PS1
Science,Grade 2,"The Moon ___ at night.",When we see the Moon.,FillInBlank,"disappears,shines,hides",B,122,1,1-ESS1-1,Night sky,NGSS.SEP.4 NGSS.DCI.ESS1
Science,Grade 2,"Animals get ___ from food; plants make ___ using sunlight.",Two blanks: energy and food.,FillInBlank,"energy,water,air; food,light,air","A;B",155,2,2-LS2-1,Energy and food,NGSS.SEP.2 NGSS.DCI.LS2
Science,Grade 2,"From the data table the warmest place was ___ and the coolest was ___.",Data: two blanks.,FillInBlank,"inside,outside,shade; inside,outside,shade","A;B",142,2,2-ESS2-3,Weather and temperature data,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 3,"A ___ is the path of energy from one living thing to another.",Name the chain.,FillInBlank,"food chain,habitat,ecosystem",A,145,1,3-LS2-1,Food chains,NGSS.SEP.2 NGSS.DCI.LS2
Science,Grade 3,"Magnets have a north ___ and a south ___.",Two blanks: pole names.,FillInBlank,"pole,end,side; pole,end,side","A;B",140,1,3-PS2-3,Magnetic poles,NGSS.SEP.6 NGSS.DCI.PS2
Science,Grade 3,"Rocks are made of ___.",What rocks are made of.,FillInBlank,"minerals,water,air",A,135,1,3-ESS2-1,Earth materials,NGSS.SEP.2 NGSS.DCI.ESS2
Science,Grade 3,"When a force is applied an object can ___ or slow down.",Effect of force.,FillInBlank,"speed up,stop,change shape",A,142,1,3-PS2-1,Forces and motion,NGSS.SEP.2 NGSS.DCI.PS2
